Season,Player,Liga_Goals,Liga_Asts,Liga_Aps,Liga_Mins,CL_Goals,CL_Asts,CL_Aps,CL_Mins
2017-18,Messi,34,12,36,2996,6,2,10,783
2017-18,Ronaldo,26,5,27,2297,15,3,13,1170
2016-17,Messi,37,9,34,2832,11,2,9,810
2016-17,Ronaldo,25,6,29,2544,12,5,13,1200
2015-16,Messi,26,16,33,2729,6,1,7,630
2015-16,Ronaldo,35,11,36,3184,16,4,12,1109
2014-15,Messi,43,21,38,3375,10,6,13,1145
2014-15,Ronaldo,48,16,35,3096,10,4,12,1064
2013-14,Messi,28,12,31,2498,8,1,7,630
2013-14,Ronaldo,31,11,30,2537,17,6,11,991
2012-13,Messi,46,14,32,2629,8,3,11,827
2012-13,Ronaldo,34,11,34,2716,12,1,12,1080
2011-12,Messi,50,20,37,3270,14,9,11,990
2011-12,Ronaldo,46,13,38,3353,10,4,10,930
2010-11,Messi,31,21,33,2862,12,4,13,1050
2010-11,Ronaldo,40,13,34,2914,6,4,12,1018
2009-10,Messi,34,13,35,2841,8,0,11,985
2009-10,Ronaldo,26,11,29,2462,7,2,6,450
